Name,Embryo,clusterUmap,Pseudotime,Dataset,EmbryoDay,Stage,clusterEmbryoCells,HDAC2,ENO1,PCBP4,RB1,JAK2,LEF1,TCF3,TAF12,PITX2,SMARCA4,PLCG1,E2F6,AES,NFX1,LCK,EPAS1,TYK2,SPTLC3,JAK3,TRRAP,E2F4,FOXA1,FOXA2,HDAC9,SKI,EP300,RELA,MYB,JUND,RBPJ,MYC,CEBPA,HDAC1,KAT2A,SRPRA,SRF,SIN3A,HNF1A,SMAD3,JUN,MAX,CREB1,ATF1,EGR1,FOS,IRF1,DAND5,HIF1A,SIRT1,E2F1,MYCBP,DVL3,TAF10,TLE1,CREM,GLI1,ELK1,SUPT7L,WT1,PTGDR2,MTSS1,TCF4,EGFR,C21orf33,TERT,TWIST1,PARP1,FOXM1,YY1,SNAI1,TRIM28,ARNT,ERAL1,EGF,AKT1,SMAD4,SMARCA2,JAK1,RBL1,TNIK,NCOR1,IL23R,STK11,ATF3,CD4,SULT2A1,MYL1,TGFB1,GATA3,FGF4
E6.11.1070,E6.11,late_TE,53.42734661,Petropoulos2016,6.0,B,K08,1,1,1,1,1,0,1,1,0,1,1,1,1,1,0,1,1,0,0,1,1,0,0,0,1,1,1,0,1,1,0,1,1,1,1,1,1,0,0,1,1,1,1,0,0,0,0,1,1,0,1,1,1,1,1,0,1,1,0,0,1,0,0,1,0,1,1,1,1,1,1,1,1,0,1,1,1,0,0,0,1,0,1,0.029127234490010517,0.0,0.201472134595163,0.0,0.008517350157728707,0.11472134595162986,0.0
E6.12.1271,E6.12,late_TE,52.9804904,Petropoulos2016,6.0,B,K08,1,1,1,1,0,0,1,1,0,1,1,1,1,1,0,1,1,0,0,1,1,0,0,0,1,1,1,0,1,1,1,1,1,1,1,1,1,0,0,0,1,1,1,0,1,0,0,1,1,1,1,1,1,1,1,0,1,1,0,0,1,0,0,0,1,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1,0.0014721345951629863,0.0,0.0,0.0,0.0,0.0277602523659306,0.0
E6.12.1277,E6.12,late_TE,52.97818168,Petropoulos2016,6.0,B,K08,1,1,0,1,1,0,1,1,0,1,1,1,1,1,0,1,1,0,0,1,1,0,0,0,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,0,0,1,1,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1,0.010725552050473186,0.0,0.0,0.0,0.0008412197686645636,0.1377497371188223,0.0005257623554153522
E6.12.1278,E6.12,late_TE,50.62373062,Petropoulos2016,6.0,B,K08,1,1,1,0,1,0,1,1,1,1,1,1,0,1,0,1,1,0,0,1,1,0,0,0,1,1,1,0,1,1,1,1,1,1,1,1,1,0,0,0,1,1,1,0,1,0,0,1,1,1,1,1,1,1,1,0,1,1,0,0,1,1,0,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1,0.0008412197686645636,0.0,0.0,0.0,0.0,0.019873817034700314,0.0
E6.12.1280,E6.12,late_TE,53.56004083,Petropoulos2016,6.0,B,K08,1,1,1,1,1,0,1,1,1,1,0,1,1,1,0,1,1,1,0,1,1,0,1,0,0,1,1,0,1,1,1,1,1,1,1,1,1,0,0,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,0,0,1,0,0,1,0,1,1,1,1,1,1,1,1,0,1,1,1,1,0,1,1,0,0,0.0009463722397476341,0.0,0.0,0.0,0.00010515247108307045,0.01619348054679285,0.0
E6.12.1482,E6.12,late_TE,38.94936065,Petropoulos2016,6.0,B,K08,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,0,0,1,1,0,0,0,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,0,0,1,1,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1,0.007465825446898002,0.0,0.0,0.0,0.0006309148264984228,0.14090431125131442,0.00010515247108307045
E6.12.1483,E6.12,late_TE,52.98614989,Petropoulos2016,6.0,B,K08,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,0,0,0,1,1,1,0,1,1,1,1,1,1,1,1,1,0,0,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,0,0,1,1,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1,0.008517350157728707,0.0,0.0,0.0,0.0003154574132492114,0.07465825446898001,0.0
E6.12.1484,E6.12,late_TE,53.26812193,Petropoulos2016,6.0,B,K08,1,1,0,1,1,0,1,1,0,1,1,1,0,1,0,1,1,1,0,1,1,0,0,0,1,1,1,0,1,1,1,1,1,1,1,1,1,0,0,0,1,1,1,0,1,1,0,1,1,1,1,1,1,1,1,0,1,1,0,0,1,1,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,0,0.007360672975814932,0.0,0.0,0.0,0.0002103049421661409,0.10115667718191378,0.0010515247108307045
E6.12.1486,E6.12,late_TE,50.19749073,Petropoulos2016,6.0,B,K08,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,0,0,1,1,0,0,0,1,1,1,0,1,1,1,1,1,1,1,1,1,0,0,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,0,0,1,1,0,1,1,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1,0.00935856992639327,0.0,0.0,0.0,0.0,0.14847528916929548,0.0
E6.12.1487,E6.12,late_TE,50.59299054,Petropoulos2016,6.0,B,K08,1,1,0,1,1,0,1,1,0,1,1,1,1,1,0,1,1,1,0,1,1,0,0,0,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,0,1,0,0,1,1,1,1,1,1,1,1,0,1,1,0,0,1,1,0,1,1,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1,0.003680336487907466,0.0,0.00010515247108307045,0.0,0.0,0.0971608832807571,0.0026288117770767614
E6.13.1377,E6.13,late_TE,52.83499805,Petropoulos2016,6.0,B,K09,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,0,1,1,0,1,1,0,0,0,1,1,1,0,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,0,0,0,0,1,1,1,1,1,1,1,1,0,1,1,0,0,1,1,0,1,1,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1,0.004416403785488959,0.0,0.0,0.0,0.0,0.053732912723449,0.0
E6.13.1379,E6.13,late_TE,52.71971056,Petropoulos2016,6.0,B,K09,1,1,0,1,1,0,1,1,1,1,1,1,1,1,0,0,1,0,0,1,1,0,0,0,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,0,1,1,0,1,1,1,1,1,1,1,1,0,1,1,0,0,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,0,0,0.0019978969505783386,0.0,0.0,0.0,0.0,0.03659305993690852,0.00010515247108307045
E6.13.1380,E6.13,late_TE,52.95090278,Petropoulos2016,6.0,B,K09,1,1,0,1,1,0,1,1,1,1,1,1,0,1,0,1,1,0,0,1,1,0,0,0,1,1,1,0,1,1,1,1,1,1,1,1,1,0,0,0,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,0,1,1,0,0,1,1,1,0,1,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1,0.008832807570977918,0.0,0.0,0.0,0.00010515247108307045,0.060042060988433225,0.0
E6.13.1383,E6.13,late_TE,52.87350731,Petropoulos2016,6.0,B,K09,1,1,0,1,1,0,1,1,1,1,1,1,0,1,0,0,1,0,0,1,1,0,1,1,0,1,1,0,1,1,1,1,1,1,1,1,1,0,1,0,1,0,1,0,0,1,0,1,1,1,1,1,1,1,0,0,1,1,0,0,1,1,0,0,1,0,1,1,1,1,1,1,1,0,1,1,1,1,0,1,1,0,1,0.0,0.0,0.0,0.0,0.0,0.03175604626708728,0.0
E6.13.1384,E6.13,late_TE,53.67725008,Petropoulos2016,6.0,B,K09,1,1,1,1,0,0,1,1,0,1,1,1,1,1,1,1,1,0,0,1,1,0,0,0,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,0,1,1,0,1,1,1,1,1,1,1,1,0,1,1,0,0,1,0,0,0,1,0,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,0,0,0.0022082018927444794,0.0,0.0,0.0,0.0,0.02996845425867508,0.0
E6.13.1386,E6.13,late_TE,53.21824487,Petropoulos2016,6.0,B,K09,1,1,0,1,1,0,1,1,1,1,1,1,1,1,0,1,1,0,0,1,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,0,0,1,1,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,0,1,0.03028391167192429,0.0,0.0009463722397476341,0.0,0.0,0.29379600420609886,0.0
E6.13.1387,E6.13,late_TE,53.10893016,Petropoulos2016,6.0,B,K09,1,1,0,1,1,0,1,1,1,1,1,1,1,1,0,0,1,0,0,1,1,0,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,0,1,0,0,1,1,1,1,1,1,1,1,0,1,1,0,0,1,1,0,1,1,0,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,0,1,0.015141955835962145,0.0,0.0,0.0,0.0,0.1452155625657203,0.0
E6.13.1388,E6.13,late_TE,53.40481942,Petropoulos2016,6.0,B,K09,1,1,0,1,0,0,1,1,1,1,1,1,0,1,0,1,1,1,0,1,1,0,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,0,1,0,0,1,1,1,1,1,1,1,1,0,1,1,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,0,0.00452155625657203,0.0,0.0,0.0,0.001156677181913775,0.17592008412197688,0.0009463722397476341
E6.13.1390,E6.13,late_TE,52.73599246,Petropoulos2016,6.0,B,K09,1,1,0,1,0,0,1,1,1,1,1,1,1,1,0,0,0,0,0,1,1,0,0,0,0,1,1,0,1,1,1,1,1,1,1,1,1,0,0,0,1,1,1,0,1,0,0,1,1,1,1,1,1,1,1,0,0,1,0,0,1,0,0,0,0,0,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,0,0,0.0014721345951629863,0.0,0.0,0.0,0.0,0.031335436382754996,0.0
E6.13.1391,E6.13,late_TE,53.00227196,Petropoulos2016,6.0,B,K09,1,1,1,1,1,0,1,1,1,1,1,1,0,1,0,1,1,0,0,1,1,0,0,0,1,1,1,0,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,0,0,0,1,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1,0.01177707676130389,0.0,0.002523659305993691,0.0,0.0012618296529968455,0.15078864353312302,0.00010515247108307045
E6.13.1392,E6.13,late_TE,49.45035619,Petropoulos2016,6.0,B,K09,1,1,1,0,0,0,1,1,0,1,1,1,0,1,0,0,1,0,0,1,1,0,0,0,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,0,1,1,0,1,1,1,1,1,1,1,1,0,1,1,0,0,1,1,1,1,1,0,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,0,0,0.0014721345951629863,0.0,0.0,0.0,0.0,0.03722397476340694,0.0
E6.13.1393,E6.13,late_TE,53.21027875,Petropoulos2016,6.0,B,K09,1,1,1,1,1,0,1,1,1,1,1,1,0,1,0,1,1,1,0,1,1,0,0,0,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,0,0,1,0,1,1,1,1,1,1,1,1,0,1,1,0,0,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1,0.004942166140904311,0.0,0.00010515247108307045,0.0,0.0,0.06561514195583597,0.0
E6.13.1394,E6.13,late_TE,52.78788084,Petropoulos2016,6.0,B,K09,1,1,0,1,1,0,1,1,1,1,1,1,0,1,0,1,1,0,0,1,1,0,0,0,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,0,0,0,0,1,1,1,1,1,1,1,1,0,1,1,0,0,1,0,0,1,1,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1,0.008727655099894847,0.0,0.0,0.0,0.0,0.11976866456361725,0.0
E6.13.1395,E6.13,late_TE,52.82270848,Petropoulos2016,6.0,B,K09,1,1,0,0,1,0,1,1,1,1,1,1,1,1,0,1,1,0,0,1,1,0,0,0,1,1,1,0,1,1,1,1,1,0,1,1,1,0,0,0,1,1,1,0,0,0,0,1,1,1,1,1,1,1,1,0,1,1,0,0,0,1,0,1,1,0,1,1,1,1,1,1,1,0,1,1,1,1,0,1,1,0,1,0.0,0.0,0.0,0.0,0.0,0.07623554153522608,0.0
E6.13.1396,E6.13,late_TE,51.03482733,Petropoulos2016,6.0,B,K09,1,1,1,1,0,0,1,1,1,1,1,1,0,1,0,1,1,0,0,1,1,0,0,0,1,1,1,0,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,0,0,1,0,1,1,1,1,1,1,1,1,0,1,1,0,0,1,1,0,1,1,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1,0.0056782334384858045,0.0,0.0,0.0,0.0003154574132492114,0.09137749737118822,0.0
E6.13.1397,E6.13,late_TE,53.31037589,Petropoulos2016,6.0,B,K09,1,1,0,1,1,0,1,1,1,1,1,1,1,1,0,1,1,0,0,1,1,0,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,0,0,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,0,0,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1,0.00231335436382755,0.0,0.00452155625657203,0.0,0.0,0.10651945320715037,0.0018927444794952682
E6.13.1398,E6.13,late_TE,53.2660784,Petropoulos2016,6.0,B,K09,1,1,1,1,0,0,1,1,0,1,1,1,0,1,0,1,1,0,0,1,1,0,0,0,1,1,1,0,1,1,1,1,1,1,1,1,1,0,0,0,1,1,1,0,1,1,0,1,1,1,1,1,1,1,1,0,1,1,0,0,1,1,0,1,1,0,1,1,1,1,1,1,1,0,1,1,1,1,0,1,1,0,1,0.009884332281808622,0.0,0.0,0.0,0.0,0.09873817034700315,0.0003154574132492114
E6.13.1399,E6.13,late_TE,53.41143622,Petropoulos2016,6.0,B,K09,1,1,0,1,1,0,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,0,0,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,0,1,1,1,1,1,1,1,1,1,1,1,0,0,1,0,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1,0.017981072555205046,0.0,0.00010515247108307045,0.0,0.0003154574132492114,0.07444794952681388,0.0
